X,Y,id_1,match_addr,ein,name,ico,street,city_1,state,zip,group_,subsection,affiliatio,classifica,ruling,deductibil,foundation,activity,organizati,status_1,tax_period,asset_cd,income_cd,filing_req,pf_filing_,acct_pd,asset_amt,income_amt,revenue_am,code,zip5,zip4,eco,lat,long,descriptio,category
-84.2803,34.0993,814607,13080 Cogburn Rd+ Milton+ Georgia+ 30004,201013087,PTA GEORGIA CONGRESS,,13080 COGBURN RD,MILTON,GA,30004-3605,1595,3,9,2000,196309,1,16,59035000,5,1,201405,3,3,1,0,5,61797,88287,64005,,30004,3605,,34.0993,-84.2803,,
-84.2694,33.7763,814582,129 Lake St+ Avondale Estates+ Georgia+ 30002,10599278,LIFELINE ANIMAL PROJECT INC,% REBECCA GUINN,129 LAKE ST,AVONDALE EST,GA,30002-1017,0,3,3,4000,200206,1,16,0,1,1,201412,5,7,1,0,12,948612,7607440,7607440,D20,30002,1017,,33.7763,-84.2694,Animal Protection & Welfare,animal
-84.2694,33.7763,814583,,10591299,MCCA INC,% SHANNON MCNEAL,PO BOX 930506,NORCROSS,GA,30003-0506,0,3,3,2700,200309,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,X40,30003,506,,,,Islam,religious
-84.2694,33.7763,814584,,200604532,BETHEL ERITREAN ALLIANCE CHURCH,% GOITOM MEZGHEBO,PO BOX 930820,NORCROSS,GA,30003-0820,0,3,3,7000,200507,1,10,0,1,1,,0,0,6,0,12,,,,X21,30003,820,,,,Protestant,religious
-84.3078,34.1408,814586,14780 E Bluff Rd+ Alpharetta+ Georgia+ 30004,161617534,CLANIN FAMILY FOUNDATION,% MARGARET G THOMPSON,14780 E BLUFF RD,ALPHARETTA,GA,30004-6939,0,3,3,1000,200209,1,4,0,2,1,201412,3,1,0,1,12,25022,3,,T21,30004,6939,,34.1408,-84.3078,Corporate Foundations,philanthropy
-84.288,34.1306,814587,2315 Saddlesprings Dr+ Alpharetta+ Georgia+ 30004,141997994,CATS IN THE CRADLE,% LYNDA BRINKLEY,2315 SADDLESPRINGS DR,ALPHARETTA,GA,30004-3254,0,3,3,1000,200809,1,15,0,1,1,201412,2,3,1,0,12,11847,72227,72227,D20,30004,3254,,34.1306,-84.288,Animal Protection & Welfare,animal
-84.2641,33.7803,814589,208 N Clarendon Ave+ Avondale Estates+ Georgia+ 30002,10848225,YOUTH MEDIA MINDS OF AMERICA,% LEROY GIPSON JR,208 N CLARENDON AVE,AVONDALE EST,GA,30002-1107,0,3,3,1000,200602,1,15,0,1,1,201412,1,3,2,0,12,160,26300,26300,O50,30002,1107,,33.7803,-84.2641,Youth Development Programs,youth_dev
-84.3677,34.1018,814595,240 Ranchette Rd+ Milton+ Georgia+ 30004,201498565,CLOUD WALK WORLDWIDE INC,% LARRY GREEN,240 RANCHETTE RD,MILTON,GA,30004-3754,0,3,3,7000,200604,1,15,0,1,1,201412,4,4,1,0,12,136906,399903,365164,X20,30004,3754,,34.1018,-84.3677,Christianity,religious
-84.201,34.06,814596,570 Sheringham Ln+ Alpharetta+ Georgia+ 30005,200594280,SUMMIT EQUESTRIAN OUTREACH FOUNDATION,% ANDREW BARKAN,570 SHERINGHAM LN,ALPHARETTA,GA,30005-2523,0,3,3,1000,200404,1,15,0,1,1,201412,1,0,2,0,12,459,0,0,T31,30005,2523,,34.06,-84.201,Community Foundations,philanthropy
-84.2233,34.0896,814597,55 Club Ct+ Alpharetta+ Georgia+ 30005,61473303,NORCROSS PASTORAL CENTER INC,% JUAN SABADELL,55 CLUB CT,ALPHARETTA,GA,30005-7423,928,3,9,1200,194603,1,10,31150120,5,1,,0,0,6,0,6,,,,,30005,7423,,34.0896,-84.2233,,
-84.2363,34.0793,814598,6380 Spinnaker Ln+ Alpharetta+ Georgia+ 30005,161659199,CENTER FOR FAMILY ALCOHOL AWARENESS AND RESOURCES INC,% NAN HOY SHAW,6380 SPINNAKER LN,ALPHARETTA,GA,30005-4210,0,3,3,1200,200312,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,F20,30005,4210,,34.0793,-84.2363,Substance Abuse Dependency,mentalhealth_crisisintervention
